titles,authors,nums,peoples
无根攻略,殿前欢/甘肃人民美术出版社/2012-12/36.80元,8.6,(1368人评价)
見手青,Funny2333/沒譜工作室/2019-11/NTD345,8.8,(53人评价)
DRAG-LESS SEX 不藥性愛,エンゾウ/東立/2017-8-2/NT130,7.1,(142人评价)
VOID－寂寞的快感－,座裏屋蘭丸/平川遊佐/尖端/2016-12-16/NT250,8.6,(374人评价)
折枝,困倚危楼/世界知识出版社/2016-7/29.8,7.4,(510人评价)
浮光,渥丹/云南人民出版社/2009年8月/28.80元,8.5,(2980人评价)
恋愛妄想中,桜庭ちどり/芳文社/2012-8-29/JPY630,6.5,(63人评价)
麒麟之快意人生,桔子樹/宇河文化/2011-9-10/TWD280,9.4,(2177人评价)
无双·下,梦溪石/中国致公出版社/2019-11/38,8.2,(52人评价)
ご利用は計画的に,にやま/竹書房/2017-11-7/JPY702,8.4,(188人评价)
金牌打手,泡泡雪兒、何何舞/凌雲工作室/2018-3/NTD1100,7.6,(188人评价)
貓科男友的逗弄方法,左京亞也、右京禮音/台灣長鴻出版社/2012-11-2/NT$140,7.4,(144人评价)
六爻,Priest/北京时代华文书局/2018-8/55.00元,8.7,(502人评价)
给校草当假男友的日子,羲和清零,6.9,(115人评价)
天宝伏妖录 卷一,非天夜翔/羊城晚报出版社/2018-6/46.00元,8.0,(454人评价)
難以捉摸的可愛甜心,おわる/東立/2019-7-31/140NT,7.1,(52人评价)
エレベーター・ストラテジー,春之/祥伝社/2018-2-24/JPY702,7.6,(35人评价)
世界第一的初恋,中村春菊/精品堂/12.80元,9.0,(1798人评价)
张公案,大风刮过/新世界出版社/2014-4-1/CNY32.00,8.1,(2560人评价)
弁而釵,(明)醉西湖新月主人/基本書坊/2008年9月15日,7.4,(390人评价)
就是要我的傲慢上司,天城れの/東販/2013-4-24/130,7.1,(96人评价)
撒野 五,巫哲、長樂(繪)/葭霏文創/2018-4/NTD330,9.1,(553人评价)
囀る鳥は羽ばたかない 1,ヨネダコウ/大洋図書/2013-1-30/JPY680,9.5,(1212人评价)
你怎么能这样我们只是兄弟啊,何以解忧//江苏文艺/2018-05-01/36.8,7.2,(509人评价)
