titles,authors,nums,peoples
景年知几时,匪我思存/新世界出版社/2009-3/20.00,6.3,(6833人评价)
寻找前世之旅（上下册）,Vivibear/河南文艺出版社/2007-1/40.00元,7.5,(10206人评价)
一座城，在等你,玖月晞/百花洲文艺出版社/2017-12/49.80元,7.3,(1263人评价)
不离2,西子绪、白马时光出品/百花洲文艺出版社/2019-11/45元,6.7,(41人评价)
呸，下流胚,福寶/2012-4-3/NT$220,7.6,(842人评价)
我的曼达林,墨宝非宝/江苏文艺出版社/2016-8/32.80元,6.7,(1740人评价)
一生孤注掷温柔,阿堵/听雪夕照轩/2010-5/300,8.7,(1672人评价)
潇然梦（上）,小佚/朝华出版社/2007-06/29.8,7.2,(8551人评价)
佳期如梦之今生今世,匪我思存/新世界出版社/2008-5/25.00元,7.2,(9508人评价)
少年的你，如此美丽,玖月晞/百花洲文艺出版社/2016-9/32.00元,6.1,(10918人评价)
公子无耻（上下）,维和粽子/江苏文艺出版社/2012-5/49.80元,6.7,(1228人评价)
斩春,十四郎/百花文艺出版社/2009-12/25.00元,7.3,(3352人评价)
Blood X Blood：血族传说,妖舟/时代文艺出版社/2010-10/29.80元,8.2,(4101人评价)
给校草当假男友的日子,羲和清零,6.9,(118人评价)
忽而今夏,明前雨后/朝华出版社/2006-4/20.00元,8.0,(10009人评价)
穿越之天雷一部（全二册）,蜀客/北方妇女儿童出版社/2009-7-1/49.80元,7.5,(1827人评价)
食荤者,阿耐/上海人民出版社/2004-7/18.00元,8.1,(1377人评价)
执子之手，将子拖走,天下无病/中国文联出版公司/2010-11/32.80元,6.9,(2876人评价)
慈悲城,丁墨/北京燕山出版社/2013-1-1/29.80元,6.9,(2559人评价)
杉杉来吃,顾漫/江苏文艺出版社/2011-8/25.00元,6.8,(16914人评价)
海棠依舊: 知否? 知否? 應是綠肥紅瘦 卷一,關心則亂/三采文化出版事業有限公司/2012-2-3/NT$240,8.5,(5025人评价)
當年萬里覓封侯  下,漫漫何其多/威向/NTD380,7.5,(391人评价)
離婚之後我還穿著你的外套（上）,不问三九/没谱文化出版社/2020-5/NTD700（两册）,8.3,(26人评价)
谁的等待，恰逢花开,长着翅膀的大灰狼/武汉出版社/2011-7/28.00元,7.3,(2803人评价)
然后、爱情随遇而安,长着翅膀的大灰狼/国际文化出版公司/2011-7/28.00元,7.4,(4848人评价)
一山一浮生,Twentine/江苏凤凰文艺出版社/2017-4/28.00元,7.3,(415人评价)
何欢,步微澜/江苏文艺出版社/2012-7/48.00元,8.0,(1551人评价)
十里红莲艳酒,天籁纸鸢/旺福資訊/2011-2-10,8.1,(1911人评价)
佳偶天成,十四郎/湖南少年儿童出版社/2011-8/22.80元,7.1,(2110人评价)
怨氣撞鈴1·食骨,尾魚/聯合文學/2015-2-13/NTD99,8.1,(7949人评价)
因为风就在那里,玖月晞/百花洲文艺出版社/2017-6/45.00元,7.0,(1191人评价)
时光与你有染,临渊鱼儿/青岛出版社/2016-9/36.00元,6.1,(179人评价)
西出玉门 上,尾鱼/敦煌文艺出版社/2018-10/42.00元,8.7,(2865人评价)
十里红莲艳酒2,天籁纸鸢/旺福/2011-3-11/190元,8.1,(643人评价)
